id,type,name,creator,starring,year,rating,time,genres,country,describle
81312532,tv show,cooking with paris,guillermo del toro,paris hilton,2021,tv-14,1 season,"food & travel tv ,reality tv ,lifestyle",united states,"with an anyone-can-cook attitude, paris hilton adds her own flair to every dish. fun is just one edible glitter bomb away on this unique cooking show."
81032347,tv show,cooked with cannabis,guillermo del toro,"kelis, leather storrs",2020,tv-ma,1 season,"food & travel tv ,competition reality tv ,reality tv",united states,"chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb, thc infusions and cbd sauces."
80204927,tv show,zumbo's just desserts,guillermo del toro,"adriano zumbo, rachel khoo",2016,tv-y,1 season,"family watch together tv ,food & travel tv ,competition reality tv ,reality tv",australia,"renowned dessert wizard adriano zumbo puts skilled amateur cooks to the test in this tense competition with a $100,000 prize."
81019894,tv show,nailed it! holiday!,guillermo del toro,"nicole byer, jacques torres",2018,tv-y,2 seasons,"family watch together tv ,food & travel tv ,competition reality tv ,reality tv",united states,"it's the ""nailed it!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad."
81487754,tv show,iron chef brazil,guillermo del toro,"fernanda souza, andressa cabral",2022,tv-14,1 season,"food & travel tv ,competition reality tv ,reality tv",brazil,rising culinary talents battle brazil’s best chefs to be named iron legend in this exhilarating competition hosted by fernanda souza and andressa cabral.
80201328,tv show,sugar rush,guillermo del toro,"hunter march, candace nelson, adriano zumbo",2018,tv-14,3 seasons,"food & travel tv ,competition reality tv ,reality tv",united states,time's the most important ingredient as teams race against the clock -- and each other -- to bake up the best-tasting sweets.
81087405,tv show,best leftovers ever!,guillermo del toro,"jackie tohn, david so, rosemary shrager",2020,tv-14,1 season,"food & travel tv ,competition reality tv ,reality tv",united states,decadent pasta from day-old fries? skillful cooks transform tired leftovers into tantalizing new dishes in this wildly creative culinary competition.
81016995,tv show,restaurants on the edge,guillermo del toro,"nick liberato, karin bohn, dennis prescott",2020,tv-pg,2 seasons,"food & travel tv ,makeover reality tv ,reality tv ,home & garden reality tv ,lifestyle",canada,three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.
81313581,tv show,the ultimate braai master,guillermo del toro,"justin bonnello, benny masekwameng, peter goffe-wood",2017,tv-y,1 season,"food & travel tv ,competition reality tv ,reality tv",south africa,teams of two trek the great outdoors and barbecue their best dishes in hopes of attaining culinary glory and cash prizes in this cooking competition.
80179138,tv show,nailed it!,guillermo del toro,"nicole byer, jacques torres",2018,tv-14,7 seasons,"food & travel tv ,competition reality tv ,reality tv",united states,"home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. it's part reality contest, part hot mess."
80210245,tv show,extreme engagement,guillermo del toro,"tim noonan, pj madam",2019,tv-14,1 season,"food & travel tv ,reality tv ,lifestyle",australia,an engaged couple travels the world for a year to explore marriage customs in diverse cultures. will the journey bring them closer or tear them apart?
80201870,tv show,stay here,guillermo del toro,"genevieve gorder, peter lorimer",2018,tv-y7,1 season,"food & travel tv ,makeover reality tv ,reality tv ,home & garden reality tv ,lifestyle",united states,designer genevieve gorder and real estate expert peter lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.
81666400,tv show,below deck sailing yacht,guillermo del toro,"glenn shephard, byron hissey, paget berry",2020,tv-14,1 season,"science & nature tv ,reality tv",united states,"the superyacht parsifal iii sets sail with a colorful new crew as they navigate high winds, hookups and more at sea in this spinoff of the hit franchise."
81040957,tv show,rupaul’s drag race: all stars,guillermo del toro,"rupaul charles, michelle visage, carson kressley",2012,tv-ma,2 seasons,"competition reality tv ,reality tv",united states,"from fan favorites to fierce villains, queens from seasons past compete for a $100,000 prize and a coveted spot in the drag race hall of fame."
81417726,tv show,summer job,guillermo del toro,matilde gioli,2022,tv-14,1 season,"competition reality tv ,reality tv",italy,"ten gen z contestants go on their dream vacation. but for a shot at staying in a luxury villa — and to win €100,000 — they have to work real jobs."
81497433,tv show,who likes my follower?,guillermo del toro,luján argüelles,2022,tv-14,1 season,"competition reality tv ,wedding & romance reality tv ,reality tv",spain,"three successful influencers each coach a follower as they narrow down a field of dating prospects, hoping to trade digital likes for real-life love."
81405046,tv show,coming out colton,guillermo del toro,colton underwood,2021,tv-14,1 season,"reality tv ,lifestyle",united states,"former nfl player and ""bachelor"" star colton underwood embarks on a journey to embrace his new life as an out member of the lgbtq community."
81212545,tv show,too hot to handle: latino,guillermo del toro,itatí cantoral,2021,tv-ma,1 season,"competition reality tv ,reality tv",mexico,"on this reality show, singles from latin america and spain are challenged to give up sex. but here, abstinence comes with a silver lining: us$100,000."
81341222,tv show,hype house,guillermo del toro,"chase hudson, nikita dragun, alex warren",2022,tv-14,1 season,"teen tv shows ,reality tv",united states,"get an inside look at social media’s most talked-about stars as they navigate love, fame and friendship while creating content and living together."
81479881,tv show,forever queens,guillermo del toro,"lucía méndez, laura zapata, sylvia pasquel",2022,tv-pg,1 season,reality tv,mexico,"this series follows the lives of mexican show biz queens lucía méndez, laura zapata, sylvia pasquel and lorena herrera as they reinvent themselves."
81312464,tv show,social currency,"fazila allana, kamna menezes, sanvari alagh nair, meghana badola, chad greulach","fazila allana, kamna menezes, sanvari alagh nair, meghana badola, chad greulach",2023,tv-14,1 season,"competition reality tv ,reality tv",india,eight social media stars forgo their fame and followers as they vie for the title of ultimate influencer in this unpredictable reality show.
81044721,tv show,the circle brazil,guillermo del toro,giovanna ewbank,2020,tv-14,1 season,"competition reality tv ,reality tv",brazil,"be yourself or someone else? in this fun reality competition, online players try their best to flirt, bond and catfish their way to a r$300,000 prize."
81393386,movie,i am all girls,guillermo del toro,"erica wessels, hlubi mboya, deon lotz",2021,tv-14,107 min,"crime movies ,drama movies ,thriller movies ,mystery movies",south africa,a relentless detective finds common ground with a killer systematically targeting the perpetrators running a powerful child-trafficking ring.
81247680,movie,like an old house,guillermo del toro,"kim xuan, duong cuong, oanh kieu",2017,tv-pg,93 min,"drama movies ,mystery movies",vietnam,a woman clinging to the hope her disgraced son will return home gets into an accident with a businessman who has an inexplicable link to her child.
80245104,movie,hubie halloween,guillermo del toro,"adam sandler, kevin james, julie bowen",2020,tv-pg,103 min,"comedy movies ,mystery movies",united states,"hubie's not the most popular guy in salem, mass., but when halloween turns truly spooky, this good-hearted scaredy-cat sets out to keep his town safe."
70305893,movie,gone girl,guillermo del toro,"ben affleck, rosamund pike, neil patrick harris",2014,tv-ma,148 min,"crime movies ,thriller movies ,mystery movies ,movies based on books",united states,"his marriage crumbling, nick comes home one day to find his wife has vanished. and as the police turn up the heat, shocking truths come to light."
81643809,movie,home sweet home,guillermo del toro,"aaron kwok, duan yihong, zhang zifeng",2021,tv-pg,109 min,"drama movies ,thriller movies ,mystery movies",china,"a rich, seemingly happy family starts to unravel as a mysterious lodger living in their basement forces them to confront a long-repressed tragedy."
81179841,movie,homunculus,guillermo del toro,"go ayano, ryo narita, yukino kishii",2021,tv-ma,116 min,"horror movies ,thriller movies ,mystery movies",japan,truth and illusion blurs when a homeless amnesiac awakens from an experimental medical procedure with the ability to see people's innermost traumas.
81435734,movie,nneka the pretty serpent,guillermo del toro,"idia aisien, ndidi obi, kenneth okolie",2020,tv-14,140 min,"drama movies ,mystery movies",nigeria,"years after the mysterious murder of her parents, a traumatized woman gains supernatural powers that aid in her quest for revenge against the killers."
81683342,movie,dying for chocolate: a curious caterer mystery,guillermo del toro,"nikki deloach, andrew w. walker, jaycie dotin",2022,tv-pg,86 min,"crime movies ,romantic movies ,mystery movies ,movies based on books",united states,a colorado caterer and a dashing detective team up to determine what led to the untimely death of a local doctor — and instead uncover a plot for murder.
80173176,movie,the invisible guardian,guillermo del toro,"marta etura, elvira mínguez, francesc orella",2017,tv-14,128 min,"crime movies ,thriller movies ,mystery movies ,movies based on books",spain,"when an fbi-trained cop returns to her navarre hometown to catch a killer targeting teens, she must face her past demons. part 1 in the baztan trilogy."
81025509,movie,synchronic,guillermo del toro,"anthony mackie, jamie dornan, katie aselton",2020,tv-ma,101 min,"sci-fi movies ,crime movies ,thriller movies ,mystery movies",united states,two paramedics begin to question their realities after coming across several bizarre deaths linked to a new narcotic with mind-bending effects.
80990327,movie,the legacy of the bones,guillermo del toro,"marta etura, carlos librado ""nene"", leonardo sbaraglia",2019,tv-ma,121 min,"crime movies ,thriller movies ,mystery movies ,movies based on books",spain,"a year after solving a series of murders, amaia is faced with a related mystery that ends up hitting very close to home. part 2 in the baztan trilogy."
80167647,movie,your son,guillermo del toro,"jose coronado, ana wagener, asia ortega",2018,tv-ma,103 min,"crime movies ,drama movies ,thriller movies ,mystery movies",spain,"after his son is brutally beaten outside a nightclub, a surgeon takes the law into his own hands and seeks vengeance against the perpetrators."
81513881,movie,7 women and a murder,guillermo del toro,"margherita buy, ornella vanoni, micaela ramazzotti",2022,tv-14,84 min,"movies based on a play ,comedy movies ,mystery movies",italy,"when their family patriarch is stabbed, seven women, each with ulterior motives, become trapped together in a mansion to solve the puzzle of his murder."
81318520,movie,bordertown: mural murders,guillermo del toro,"ville virtanen, anu sinisalo, sampo sarkola",2021,tv-14,107 min,"finnish ,crime movies ,drama movies ,thriller movies ,mystery movies",united states,"a bloody mural, a deadly social media poll and an infamous serial killer force detective kari sorjonen to confront the most difficult case of his career."
81259570,movie,recurrence,guillermo del toro,"luisana lopilato, mauricio paniagua, inés estévez",2022,tv-14,116 min,"crime movies ,drama movies ,thriller movies ,mystery movies ,movies based on books ,social issue dramas",argentina,"years after moving to a remote town, ex-cop pipa is pulled back into the dark world she thought she'd left behind when she gets tangled in a murder case."
81029875,movie,brazen,guillermo del toro,"alyssa milano, sam page, emilie ullerup",2022,tv-ma,96 min,"crime movies ,thriller movies ,mystery movies ,movies based on books",united states,mystery writer grace miller has killer instincts when it comes to motive — and she'll need every bit of expertise to help solve her sister's murder.
81338273,movie,in for a murder,guillermo del toro,"anna smołowik, paweł domagała, szymon bobrowski",2021,tv-pg,104 min,"comedy movies ,thriller movies ,mystery movies",poland,a stay-at-home mom and avid reader of crime stories discovers the deepest secrets of a small town's residents while investigating a woman's murder.
81092222,movie,the woman in the window,guillermo del toro,"amy adams, gary oldman, anthony mackie",2021,tv-ma,101 min,"crime movies ,drama movies ,thriller movies ,mystery movies ,movies based on books",united states,"confined to her home by agoraphobia, a psychologist becomes obsessed with her new neighbors — and solving a brutal crime she witnesses from her window."
80208630,movie,city of lies,guillermo del toro,"johnny depp, forest whitaker, shea whigham",2018,tv-14,111 min,"crime movies ,drama movies ,mystery movies ,movies based on books ,movies based on real life ,social issue dramas",united states,"driven by an obsessive need for the truth, a former la cop and a journalist revisit the still-unsolved murders of tupac shakur and the notorious b.i.g."
80094648,movie,i am the pretty thing that lives in the house,guillermo del toro,"ruth wilson, bob balaban, lucy boynton",2016,tv-14,89 min,"horror movies ,mystery movies",canada,a nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.
81029844,movie,an inspector calls,guillermo del toro,"louis koo, eric tsang, teresa mo",2015,tv-14,86 min,"movies based on a play ,comedy movies ,mystery movies",china,"when inspector karl arrives at the kau manor before a lavish engagement party, he brings news of a young woman's suicide -- and he has a few questions."
81629025,movie,who killed santa? a murderville murder mystery,guillermo del toro,"will arnett, jason bateman, maya rudolph",2022,tv-14,52 min,"comedy movies ,mystery movies",united states,a holiday-hating detective is forced to solve a murder — and save christmas — with help from famous trainees who must improv their way through the case.
